username,filename,Taylors FileName,title,hashtag,category,is_featured,total_rank_number
TylerWilliams,Demo_TylerWilliams_BestSkateboardTrick10.mp4,BestSkateboardTrick10.mp4,,Skateboard,Action Sports,NO,68
TylerWilliams,Demo_TylerWilliams_BestSurfingAirsFelipeToledo.mp4,BestSurfingAirsFelipeToledo.mp4,,"Surfing, Best Air",Action Sports,NO,100
TylerWilliams,Demo_TylerWilliams_BestSurfingAirsFelipeToledo2.mp4,BestSurfingAirsFelipeToledo2.mp4,,"Surfing, Best Air",Action Sports,YES,80
TylerWilliams,Demo_TylerWilliams_BestSurfingAirsGabrielMedina2.mp4,BestSurfingAirsGabrielMedina2.mp4,,"Surfing, Best Air",Action Sports,NO,90
TylerWilliams,Demo_TylerWilliams_BestSurfingAirsGabrielMedinaBackflip.mp4,BestSurfingAirsGabrielMedinaBackflip.mp4,,"Surfing, Best Air",Action Sports,NO,28
TylerWilliams,Demo_TylerWilliams_BestSurfingAirsJohnJohnFlorence.mp4,BestSurfingAirsJohnJohnFlorence.mp4,,"Surfing, Best Air",Action Sports,NO,150
TylerWilliams,Demo_TylerWilliams_BestSurfingAirsJordySmith.mp4,BestSurfingAirsJordySmith.mp4,,"Surfing, Best Air",Action Sports,NO,90
JennyBrown,Demo_JennyBrown_BestSurfingAirsJulianWilson.mp4,BestSurfingAirsJulianWilson.mp4,,"Surfing, Best Air",Action Sports,NO,80
JennyBrown,Demo_JennyBrown_BestSurfingAirsKellySlater.mp4,BestSurfingAirsKellySlater.mp4,,"Surfing, Best Air",Action Sports,NO,70
JennyBrown,Demo_JennyBrown_BestSurfingGirlsBigWaveAndreaMoeller.mp4,BestSurfingGirlsBigWaveAndreaMoeller.mp4,,"Surfing, Big Wave",Action Sports,NO,60
JennyBrown,Demo_JennyBrown_BestSurfingGirlsBigWaveBethanyHamilton.mp4,BestSurfingGirlsBigWaveBethanyHamilton.mp4,,"Surfing, Big Wave",Action Sports,NO,55
JennyBrown,Demo_JennyBrown_BestSurfingGirlsBigWaveJamilahStar.mp4,BestSurfingGirlsBigWaveJamilahStar.mp4,,"Surfing, Big Wave",Action Sports,NO,43
JennyBrown,Demo_JennyBrown_BestSurfingGirlsBigWaveKaelaKennelly.mp4,BestSurfingGirlsBigWaveKaelaKennelly.mp4,,"Surfing, Big Wave",Action Sports,YES,99
JennyBrown,Demo_JennyBrown_BestSurfingGirlsBigWaveLayneBeachley.mp4,BestSurfingGirlsBigWaveLayneBeachley.mp4,,"Surfing, Big Wave",Action Sports,NO,190
JennyBrown,Demo_JennyBrown_BestSurfingGirlsBigWaveMayaGabeira.mp4,BestSurfingGirlsBigWaveMayaGabeira.mp4,,"Surfing, Big Wave",Action Sports,NO,120
JennyBrown,Demo_JennyBrown_BestSurfingGirlsBigWaveMercedesMaidana.mp4,BestSurfingGirlsBigWaveMercedesMaidana.mp4,,"Surfing, Big Wave",Action Sports,NO,17
JennyBrown,Demo_JennyBrown_BestSurfingGirlsBigWavePaigeAlmes.mp4,BestSurfingGirlsBigWavePaigeAlmes.mp4,,"Surfing, Big Wave",Action Sports,NO,29
JennyBrown,Demo_JennyBrown_BestSurfingGirlsBigWaveSavannahShaughnessey.mp4,BestSurfingGirlsBigWaveSavannahShaughnessey.mp4,,"Surfing, Big Wave",Action Sports,NO,68
JennyBrown,Demo_JennyBrown_BestWomensSurfRide2016LeahDawson.mp4,BestWomensSurfRide2016LeahDawson.mp4,,Surfing,Action Sports,NO,77
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay.mp4,BestMLBbaseballplay.mp4,,"Baseball, Best Play",Baseball,NO,99
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay2.mp4,BestMLBbaseballplay2.mp4,,"Baseball, Best Play",Baseball,NO,88
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay3.mp4,BestMLBbaseballplay3.mp4,,"Baseball, Best Play",Baseball,NO,77
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay4.mp4,BestMLBbaseballplay4.mp4,,"Baseball, Best Play",Baseball,NO,56
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay5.mp4,BestMLBbaseballplay5.mp4,,"Baseball, Best Play",Baseball,NO,45
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay6.mp4,BestMLBbaseballplay6.mp4,,"Baseball, Best Play",Baseball,NO,76
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay7.mp4,BestMLBbaseballplay7.mp4,,"Baseball, Best Play",Baseball,NO,87
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay8.mp4,BestMLBbaseballplay8.mp4,,"Baseball, Best Play",Baseball,NO,98
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay9.mp4,BestMLBbaseballplay9.mp4,,"Baseball, Best Play",Baseball,NO,110
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay10.mp4,BestMLBbaseballplay10.mp4,,"Baseball, Best Play",Baseball,NO,112
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay11.mp4,BestMLBbaseballplay11.mp4,,"Baseball, Best Play",Baseball,NO,113
JennyBrown,Demo_JennyBrown_BestMLBbaseballplay12.mp4,BestMLBbaseballplay12.mp4,,"Baseball, Best Play",Baseball,NO,116
JennyBrown,Demo_JennyBrown_BestPlaysLittleLeagueWorldSeries1.mp4,BestPlaysLittleLeagueWorldSeries1.mp4,,"Baseball, Little League",Baseball,NO,300
JennyBrown,Demo_JennyBrown_BestPlaysLittleLeagueWorldSeries2.mp4,BestPlaysLittleLeagueWorldSeries2.mp4,,"Baseball, Little League",Baseball,NO,66
JamilaConner,Demo_JamilaConner_1WomensFashionChanel6.mp4,1WomensFashionChanel6.mp4,,"Style, Womens Fashion, Chanel",Women's Fashion & Modeling,NO,199
JamilaConner,Demo_JamilaConner_BestFashionMetBallAdrianaLima.mp4,BestFashionMetBallAdrianaLima.mp4,,"Style, Fashion, Women, Adriana Lima",Women's Fashion & Modeling,NO,321
JamilaConner,Demo_JamilaConner_BestFashionMetBallBellaHadid.mp4,BestFashionMetBallBellaHadid.mp4,,"Style, Fashion, Women, Bella Hadid",Women's Fashion & Modeling,NO,414
JamilaConner,Demo_JamilaConner_BestFashionMetBallDianeVonFurstenberg.mp4,BestFashionMetBallDianeVonFurstenberg.mp4,,"Style, Fashion, Women, Diane Von Furstenberg",Women's Fashion & Modeling,NO,424
JamilaConner,Demo_JamilaConner_BestFashionMetBallGigiHadid.mp4,BestFashionMetBallGigiHadid.mp4,,"Style, Fashion, Women, Gigi Hadid",Women's Fashion & Modeling,NO,325
JamilaConner,Demo_JamilaConner_BestFashionMetBallGiseleBundchenTomBrady.mp4,BestFashionMetBallGiseleBundchenTomBrady.mp4,,"Style, Fashion, Women, Gisele Bundchen",Women's Fashion & Modeling,NO,552
JamilaConner,Demo_JamilaConner_BestFashionMetBallHalleBerry.mp4,BestFashionMetBallHalleBerry.mp4,,"Style, Fashion, Women, Halle Berry",Women's Fashion & Modeling,NO,245
JamilaConner,Demo_JamilaConner_BestFashionMetBallJanelleMonae.mp4,BestFashionMetBallJanelleMonae.mp4,,"Style, Fashion, Women, Jenell Monae",Women's Fashion & Modeling,NO,652
JamilaConner,Demo_JamilaConner_BestFashionMetBallKatieHolmes.mp4,BestFashionMetBallKatieHolmes.mp4,,"Style, Fashion, Women, Katie Holmes",Women's Fashion & Modeling,NO,354
JamilaConner,Demo_JamilaConner_BestFashionMetBallKatyPerry.mp4,BestFashionMetBallKatyPerry.mp4,,"Style, Fashion, Women, Katy Perry",Women's Fashion & Modeling,NO,774
JamilaConner,Demo_JamilaConner_BestFashionMetBallKendallJenner.mp4,BestFashionMetBallKendallJenner.mp4,,"Style, Fashion, Women, Kendall Jenner",Women's Fashion & Modeling,NO,156
JamilaConner,Demo_JamilaConner_BestFashionMetBallKimKardashian.mp4,BestFashionMetBallKimKardashian.mp4,,"Style, Fashion, Women, Kim Kardashian",Women's Fashion & Modeling,NO,241
JamilaConner,Demo_JamilaConner_BestFashionMetBallKylieJenner.mp4,BestFashionMetBallKylieJenner.mp4,,"Style, Fashion, Women, Kylie Jenner",Women's Fashion & Modeling,NO,369
JamilaConner,Demo_JamilaConner_BestFashionMetBallLala.mp4,BestFashionMetBallLala.mp4,,"Style, Fashion, Women, Lala",Women's Fashion & Modeling,NO,256
JamilaConner,Demo_JamilaConner_BestFashionMetBallNickiMinaj.mp4,BestFashionMetBallNickiMinaj.mp4,,"Style, Fashion, Women, Nicki Minaj",Women's Fashion & Modeling,NO,242
JamilaConner,Demo_JamilaConner_BestFashionMetBallRihanna.mp4,BestFashionMetBallRihanna.mp4,,"Style, Fashion, Women, Rihanna",Women's Fashion & Modeling,NO,1012
JamilaConner,Demo_JamilaConner_BestFashionMetBallSelenaGomezTheWeeknd.mp4,BestFashionMetBallSelenaGomezTheWeeknd.mp4,,"Style, Fashion, Women, Selena Gomez",Women's Fashion & Modeling,NO,654
JamilaConner,Demo_JamilaConner_BestFashionMetBallTracyRoss.mp4,BestFashionMetBallTracyRoss.mp4,,"Style, Fashion, Women, Tracy Ross",Women's Fashion & Modeling,NO,425
JamilaConner,Demo_JamilaConner_BestFashionMetBallZendaya.mp4,BestFashionMetBallZendaya.mp4,,"Style, Fashion, Women, Zendaya",Women's Fashion & Modeling,NO,245
JamilaConner,Demo_JamilaConner_BestOscarFashionAvaDuVernay.mp4,BestOscarFashionAvaDuVernay.mp4,,"Style, Fashion, Women, Oscars, Ava Duvernay",Women's Fashion & Modeling,NO,100
JamilaConner,Demo_JamilaConner_BestOscarFashionBrieLarson.mp4,BestOscarFashionBrieLarson.mp4,,"Style, Fashion, Women, Oscars, Brie Larson",Women's Fashion & Modeling,NO,111
JamilaConner,Demo_JamilaConner_BestOscarFashionCharlizeTheron.mp4,BestOscarFashionCharlizeTheron.mp4,,"Style, Fashion, Women, Oscars,Charlize Theron",Women's Fashion & Modeling,NO,222
JamilaConner,Demo_JamilaConner_BestOscarFashionChrissyTeigenJohnLegend.mp4,BestOscarFashionChrissyTeigenJohnLegend.mp4,,"Style, Fashion, Women, Oscars, Chrissy Teigen",Women's Fashion & Modeling,YES,333
JamilaConner,Demo_JamilaConner_BestOscarFashionEmmaStone.mp4,BestOscarFashionEmmaStone.mp4,,"Style, Fashion, Women, Oscars, Emma Stone",Women's Fashion & Modeling,NO,226
MeganQualls,Demo_MeganQualls_BestOscarFashionHaileeSteinfeld.mp4,BestOscarFashionHaileeSteinfeld.mp4,,"Style, Fashion, Women, Oscars, Hailee Steinfeld",Women's Fashion & Modeling,NO,100
MeganQualls,Demo_MeganQualls_BestOscarFashionHalleBerry.mp4,BestOscarFashionHalleBerry.mp4,,"Style, Fashion, Women, Oscars, Halley Berry",Women's Fashion & Modeling,NO,356
MeganQualls,Demo_MeganQualls_BestOscarFashionNaomieHarris.mp4,BestOscarFashionNaomieHarris.mp4,,"Style, Fashion, Women, Oscars, Naomie Harris",Women's Fashion & Modeling,NO,245
MeganQualls,Demo_MeganQualls_BestOscarFashionNicoleKidman.mp4,BestOscarFashionNicoleKidman.mp4,,"Style, Fashion, Women, Oscars, Nicole Kidman",Women's Fashion & Modeling,NO,126
MeganQualls,Demo_MeganQualls_BestOscarFashionPriyankaChopra.mp4,BestOscarFashionPriyankaChopra.mp4,,"Style, Fashion, Women, Oscars, Priyanks Chopra",Women's Fashion & Modeling,YES,336
MeganQualls,Demo_MeganQualls_BestOscarFashionScarlettJohansson.mp4,BestOscarFashionScarlettJohansson.mp4,,"Style, Fashion, Women, Oscars, Scarlett Johansson",Women's Fashion & Modeling,NO,256
MeganQualls,Demo_MeganQualls_BestOscarFashionSelmaHayek.mp4,BestOscarFashionSelmaHayek.mp4,,"Style, Fashion, Women, Oscars, Selma Hayek",Women's Fashion & Modeling,NO,145
MeganQualls,Demo_MeganQualls_BestOscarFashionTarajiHenson.mp4,BestOscarFashionTarajiHenson.mp4,,"Style, Fashion, Women, Oscars, Taraji Henson",Women's Fashion & Modeling,NO,956
MeganQualls,Demo_MeganQualls_BestOscarFashionViolaDavis.mp4,BestOscarFashionViolaDavis.mp4,,"Style, Fashion, Women, Oscars, Viola Davis",Women's Fashion & Modeling,NO,257
MeganQualls,Demo_MeganQualls_BestOscarFashionWomen1.mp4,BestOscarFashionWomen1.mp4,,"Style, Fashion, Women, Mens, Oscars",Women's Fashion & Modeling,NO,120
MeganQualls,Demo_MeganQualls_BestFashion1.mp4,BestFashion1.mp4,,"Style, Fashion, Women",Women's Fashion & Modeling,NO,70
MeganQualls,Demo_MeganQualls_Top10FanCatches2.mp4,Top 10 Fan Catches2.mp4,,"Baseball, Fan Catch",Baseball,NO,60
MeganQualls,Demo_MeganQualls_Top10FanCatches3.mp4,Top 10 Fan Catches3.mp4,,"Baseball, Fan Catch",Baseball,NO,46
MeganQualls,Demo_MeganQualls_Top10FanCatches4.mp4,Top 10 Fan Catches4.mp4,,"Baseball, Fan Catch",Baseball,NO,67
MeganQualls,Demo_MeganQualls_Top10FanCatches5.mp4,Top 10 Fan Catches5.mp4,,"Baseball, Fan Catch",Baseball,NO,35
MeganQualls,Demo_MeganQualls_Top10FanCatches6.mp4,Top 10 Fan Catches6.mp4,,"Baseball, Fan Catch",Baseball,NO,46
MeganQualls,Demo_MeganQualls_Top10FanCatches7.mp4,Top 10 Fan Catches7.mp4,,"Baseball, Fan Catch",Baseball,NO,78
MeganQualls,Demo_MeganQualls_Top10FanCatches8.mp4,Top 10 Fan Catches8.mp4,,"Baseball, Fan Catch",Baseball,NO,99
MeganQualls,Demo_MeganQualls_Top10FanCatches9.mp4,Top 10 Fan Catches9.mp4,,"Baseball, Fan Catch",Baseball,NO,87
MeganQualls,Demo_MeganQualls_Top10FanCatches10.mp4,Top 10 Fan Catches10.mp4,,"Baseball, Fan Catch",Baseball,NO,65
MeganQualls,Demo_MeganQualls_Top10FanCatches12.mp4,Top 10 Fan Catches12.mp4,,"Baseball, Fan Catch",Baseball,NO,46
MeganQualls,Demo_MeganQualls_BestCollegeAlleyOop2013-2014Arizona.mp4,BestCollegeAlleyOop2013-2014Arizona.mp4,,"Basketball, Alley Oop",Baseball,NO,78
MeganQualls,Demo_MeganQualls_BestCollegeBasketballPlay2013-2014.mp4,BestCollegeBasketballPlay2013-2014.mp4,,"Basketball, Best Play, College",Baseball,NO,122
MeganQualls,Demo_MeganQualls_BestCollegeBasketballPlay2013-2014Arizona.mp4,BestCollegeBasketballPlay2013-2014Arizona.mp4,,"Basketball, Best Play, College",Baseball,NO,222
MeganQualls,Demo_MeganQualls_BestCollegeBasketballPlay2013-2014Kansas.mp4,BestCollegeBasketballPlay2013-2014Kansas.mp4,,"Basketball, Best Play, College",Baseball,NO,232
MeganQualls,Demo_MeganQualls_BestCollegeBasketballPlay2013-2014MIchigan.mp4,BestCollegeBasketballPlay2013-2014MIchigan.mp4,,"Basketball, Best Play, College",Baseball,NO,256
LisaParker00,Demo_LisaParker00_BestDJMixDJAM3.mp4,BestDJMixDJAM3.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,1101
LisaParker00,Demo_LisaParker00_BestDJMixDJAM5.mp4,BestDJMixDJAM5.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,1307
LisaParker00,Demo_LisaParker00_BestDJMixDJAM6.mp4,BestDJMixDJAM6.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,2154
LisaParker00,Demo_LisaParker00_BestDJMixDJAM7.mp4,BestDJMixDJAM7.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,3265
LisaParker00,Demo_LisaParker00_BestDJMixDJAM8.mp4,BestDJMixDJAM8.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,2784
LisaParker00,Demo_LisaParker00_BestDJMixDJAM9.mp4,BestDJMixDJAM9.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,1054
LisaParker00,Demo_LisaParker00_BestDJMixDJAM10.mp4,BestDJMixDJAM10.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,1958
LisaParker00,Demo_LisaParker00_BestDJMixDJAM11.mp4,BestDJMixDJAM11.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,1458
LisaParker00,Demo_LisaParker00_BestDJMixDJAM12.mp4,BestDJMixDJAM12.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,3145
LisaParker00,Demo_LisaParker00_BestDJMixDJAM13.mp4,BestDJMixDJAM13.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,6254
LisaParker00,Demo_LisaParker00_BestDJMixDJAM15.mp4,BestDJMixDJAM15.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,NO,1569
LisaParker00,Demo_LisaParker00_BestDJMixDJBrace1.mp4,BestDJMixDJBrace1.mp4,,"Music, DJ, Brace",DJ's & Beat Makers,NO,122
LisaParker00,Demo_LisaParker00_BestDJMixDJBrace2.mp4,BestDJMixDJBrace2.mp4,,"Music, DJ, Brace",DJ's & Beat Makers,NO,222
LisaParker00,Demo_LisaParker00_BestDJMixDJBrace3.mp4,BestDJMixDJBrace3.mp4,,"Music, DJ, Brace",DJ's & Beat Makers,NO,232
LisaParker00,Demo_LisaParker00_BestDJMixDJBrace4.mp4,BestDJMixDJBrace4.mp4,,"Music, DJ, Brace",DJ's & Beat Makers,NO,256
LisaParker00,Demo_LisaParker00_BestDJMixDJBrace5.mp4,BestDJMixDJBrace5.mp4,,"Music, DJ, Brace",DJ's & Beat Makers,NO,122
LisaParker00,Demo_LisaParker00_BestDJMixDJEmpireStrikesBack1.mp4,BestDJMixDJEmpireStrikesBack1.mp4,,"Music, DJ, Brace",DJ's & Beat Makers,NO,132
LisaParker00,Demo_LisaParker00_BestDJMixDJEmpireStrikesBack2.mp4,BestDJMixDJEmpireStrikesBack2.mp4,,"Music, DJ, Star Wars",DJ's & Beat Makers,NO,242
LisaParker00,Demo_LisaParker00_BestDJMixDJEver_DJAM1.mp4,BestDJMixDJEver_DJAM1.mp4,,"Music, DJ, Star Wars",DJ's & Beat Makers,YES,100
LisaParker00,Demo_LisaParker00_BestDJMixDJEver_DJAM2.mp4,BestDJMixDJEver_DJAM2.mp4,,"Music, DJ, AM, Adam",DJ's & Beat Makers,YES,145
LisaParker00,Demo_LisaParker00_BestDJMixDjVekked1.mp4,BestDJMixDjVekked1.mp4,,"Music, DJ",DJ's & Beat Makers,NO,132
LisaParker00,Demo_LisaParker00_BestDJMixDjVekked2.mp4,BestDJMixDjVekked2.mp4,,"Music, DJ",DJ's & Beat Makers,NO,130
LisaParker00,Demo_LisaParker00_BestDJMixDjVekked3.mp4,BestDJMixDjVekked3.mp4,,"Music, DJ",DJ's & Beat Makers,NO,133
LisaParker00,Demo_LisaParker00_BestDJMixDjVekked4.mp4,BestDJMixDjVekked4.mp4,,"Music, DJ",DJ's & Beat Makers,NO,135
LisaParker00,Demo_LisaParker00_BestDJMixDjVekked5.mp4,BestDJMixDjVekked5.mp4,,"Music, DJ",DJ's & Beat Makers,NO,230
LeandroAumiller,Demo_LeandroAumiller_BestCollegeDunks2014-2015Mahattan.mp4,BestCollegeDunks2014-2015Mahattan.mp4,,"Basketball, Dunk, College",Basketball,NO,166
LeandroAumiller,Demo_LeandroAumiller_BestCollegeDunks2014-2015Miami.mp4,BestCollegeDunks2014-2015Miami.mp4,,"Basketball, Dunk, College",Basketball,NO,155
LeandroAumiller,Demo_LeandroAumiller_BestCollegeDunks2014-2015NotreDame.mp4,BestCollegeDunks2014-2015NotreDame.mp4,,"Basketball, Dunk, College",Basketball,NO,144
LeandroAumiller,Demo_LeandroAumiller_BestCollegeDunks2014-2015NotreDame2.mp4,BestCollegeDunks2014-2015NotreDame2.mp4,,"Basketball, Dunk, College",Basketball,NO,133
LeandroAumiller,Demo_LeandroAumiller_BestCollegeDunks2014-2015OklahomaSt.mp4,BestCollegeDunks2014-2015OklahomaSt.mp4,,"Basketball, Dunk, College",Basketball,NO,76
LeandroAumiller,Demo_LeandroAumiller_BestCollegeDunks2014-2015Syracuse.mp4,BestCollegeDunks2014-2015Syracuse.mp4,,"Basketball, Dunk, College",Basketball,NO,211
LeandroAumiller,Demo_LeandroAumiller_BestCollegeDunks2014-2015UCLA.mp4,BestCollegeDunks2014-2015UCLA.mp4,,"Basketball, Dunk, College",Basketball,NO,212
LeandroAumiller,Demo_LeandroAumiller_BestCollegeDunks2014-2015WestVirginia.mp4,BestCollegeDunks2014-2015WestVirginia.mp4,,"Basketball, Dunk, College",Basketball,NO,100
LeandroAumiller,Demo_LeandroAumiller_BestCollegeDunks2014-2015WichitaSt.mp4,BestCollegeDunks2014-2015WichitaSt.mp4,,"Basketball, Dunk, College",Basketball,NO,101
LeandroAumiller,Demo_LeandroAumiller_BestCollegeDunks2014-2015WyomingNanceJr.mp4,BestCollegeDunks2014-2015WyomingNanceJr.mp4,,"Basketball, Dunk, College",Basketball,NO,102
LeandroAumiller,Demo_LeandroAumiller_BestHighSchoolDunkAndyLucien.mp4,BestHighSchoolDunkAndyLucien.mp4,,"Basketball, Dunk, High School",Basketball,NO,133
LeandroAumiller,Demo_LeandroAumiller_BestHighSchoolDunkBenSimmons.mp4,BestHighSchoolDunkBenSimmons.mp4,,"Basketball, Dunk, High School",Basketball,NO,145
LeandroAumiller,Demo_LeandroAumiller_BestHighSchoolDunkChrisClemons.mp4,BestHighSchoolDunkChrisClemons.mp4,,"Basketball, Dunk, High School",Basketball,NO,245
LeandroAumiller,Demo_LeandroAumiller_BestHighSchoolDunkDenzellDaley.mp4,BestHighSchoolDunkDenzellDaley.mp4,,"Basketball, Dunk, High School",Basketball,NO,356
LeandroAumiller,Demo_LeandroAumiller_BestHighSchoolDunkDerrickJones.mp4,BestHighSchoolDunkDerrickJones.mp4,,"Basketball, Dunk, High School",Basketball,NO,444
LeandroAumiller,Demo_LeandroAumiller_BestHighSchoolDunkHafidYassin.mp4,BestHighSchoolDunkHafidYassin.mp4,,"Basketball, Dunk, High School",Basketball,NO,353
LeandroAumiller,Demo_LeandroAumiller_BestHighSchoolDunkJosephJones.mp4,BestHighSchoolDunkJosephJones.mp4,,"Basketball, Dunk, High School",Basketball,NO,242
LeandroAumiller,Demo_LeandroAumiller_BestHighSchoolDunkMalikBeasley.mp4,BestHighSchoolDunkMalikBeasley.mp4,,"Basketball, Dunk, High School",Basketball,NO,378
LeandroAumiller,Demo_LeandroAumiller_BestHighSchoolDunkMalikMonk.mp4,BestHighSchoolDunkMalikMonk.mp4,,"Basketball, Dunk, High School",Basketball,NO,345
LeandroAumiller,Demo_LeandroAumiller_BestHighSchoolDunkMichaelPorterJr..mp4,BestHighSchoolDunkMichaelPorterJr..mp4,,"Basketball, Dunk, High School",Basketball,NO,542
LeandroAumiller,Demo_LeandroAumiller_BestNCAABasketballBlockHakimWarrick.mp4,BestNCAABasketballBlockHakimWarrick.mp4,,"Basketball, Block, College",Basketball,NO,600
LeandroAumiller,Demo_LeandroAumiller_BestNCAADunks2013-2014BEST.mp4,BestNCAADunks2013-2014BEST.mp4,,"Basketball, Dunk, College",Basketball,NO,223
LeandroAumiller,Demo_LeandroAumiller_BestNCAADunks2013-2014Marquette.mp4,BestNCAADunks2013-2014Marquette.mp4,,"Basketball, Dunk, College",Basketball,NO,222
LeandroAumiller,Demo_LeandroAumiller_BestNCAADunks2013-2014Northeastern.mp4,BestNCAADunks2013-2014Northeastern.mp4,,"Basketball, Dunk, College",Basketball,NO,245
LeandroAumiller,Demo_LeandroAumiller_BestNCAADunks2013-2014UCF.mp4,BestNCAADunks2013-2014UCF.mp4,,"Basketball, Dunk, College",Basketball,NO,425
PaulSalgado,Demo_PaulSalgado_BestNCAADunks2013-2014UCLA3.mp4,BestNCAADunks2013-2014UCLA3.mp4,,"Basketball, Dunk, College",Basketball,NO,567
PaulSalgado,Demo_PaulSalgado_BestNCAADunks2013-2014WestVirginia3.mp4,BestNCAADunks2013-2014WestVirginia3.mp4,,"Basketball, Dunk, College",Basketball,NO,535
PaulSalgado,Demo_PaulSalgado_BestNCAADunks2013-2014WichitaSt3.mp4,BestNCAADunks2013-2014WichitaSt3.mp4,,"Basketball, Dunk, College",Basketball,NO,142
PaulSalgado,Demo_PaulSalgado_BestNCAADunks2013-20143.mp4,BestNCAADunks2013-20143.mp4,,"Basketball, Dunk, College",Basketball,NO,245
PaulSalgado,Demo_PaulSalgado_BestWNBADunk1.mp4,BestWNBADunk1.mp4,,"Basketball, Dunk, WNBA",Basketball,NO,200
PaulSalgado,Demo_PaulSalgado_BestWNBADunk2.mp4,BestWNBADunk2.mp4,,"Basketball, Dunk, WNBA",Basketball,NO,292
PaulSalgado,Demo_PaulSalgado_BestWNBADunk3.mp4,BestWNBADunk3.mp4,,"Basketball, Dunk, WNBA",Basketball,NO,108
PaulSalgado,Demo_PaulSalgado_BestWNBADunk4.mp4,BestWNBADunk4.mp4,,"Basketball, Dunk, WNBA",Basketball,NO,108
PaulSalgado,Demo_PaulSalgado_BestWNBADunk5.mp4,BestWNBADunk5.mp4,,"Basketball, Dunk, WNBA",Basketball,NO,112
PaulSalgado,Demo_PaulSalgado_BestWNBADunk6.mp4,BestWNBADunk6.mp4,,"Basketball, Dunk, WNBA",Basketball,NO,103
PaulSalgado,Demo_PaulSalgado_BestWNBADunk7.mp4,BestWNBADunk7.mp4,,"Basketball, Dunk, WNBA",Basketball,NO,145
PaulSalgado,Demo_PaulSalgado_BestWNBADunk8.mp4,BestWNBADunk8.mp4,,"Basketball, Dunk, WNBA",Basketball,NO,199
